tvhours,age,childs,educ,female,grass,hrsrelax,black,social_connect,voted04,xmovie,zodiac,dem,rep,ind
NA,38.0,2.0,12.0,1.0,1.0,2.0,1.0,NA,0.0,0.0,Pisces,0.0,0.0,1.0
2.0,39.0,3.0,12.0,0.0,NA,2.0,0.0,1.0,1.0,NA,Pisces,0.0,1.0,0.0
10.0,25.0,0.0,10.0,0.0,1.0,NA,1.0,1.0,0.0,1.0,Pisces,1.0,0.0,0.0
NA,28.0,1.0,12.0,0.0,NA,NA,1.0,NA,0.0,NA,Leo,1.0,0.0,0.0
NA,22.0,0.0,12.0,0.0,0.0,4.0,1.0,NA,0.0,1.0,Libra,1.0,0.0,0.0
NA,28.0,0.0,16.0,1.0,0.0,3.0,NA,NA,0.0,0.0,Sagittarius,1.0,0.0,0.0
NA,45.0,0.0,13.0,0.0,1.0,2.0,0.0,NA,0.0,0.0,Scorpio,0.0,0.0,1.0
NA,26.0,0.0,19.0,1.0,NA,NA,1.0,NA,1.0,NA,Sagittarius,1.0,0.0,0.0
3.0,79.0,4.0,20.0,1.0,0.0,NA,0.0,0.0,NA,1.0,Aries,1.0,0.0,0.0
5.0,34.0,1.0,12.0,0.0,1.0,NA,1.0,1.0,1.0,0.0,Virgo,1.0,0.0,0.0
NA,49.0,1.0,12.0,1.0,NA,NA,0.0,NA,NA,NA,Gemini,0.0,0.0,1.0
1.0,53.0,2.0,16.0,1.0,NA,2.0,0.0,0.0,1.0,0.0,Cancer,1.0,0.0,0.0
3.0,75.0,4.0,12.0,0.0,NA,NA,0.0,0.0,NA,NA,Cancer,1.0,0.0,0.0
NA,75.0,4.0,12.0,1.0,NA,NA,0.0,NA,1.0,NA,Virgo,1.0,0.0,0.0
7.0,22.0,0.0,5.0,1.0,NA,NA,NA,2.0,0.0,NA,Scorpio,0.0,0.0,1.0
NA,53.0,4.0,7.0,1.0,NA,NA,0.0,NA,0.0,NA,Aries,0.0,0.0,1.0
NA,51.0,3.0,10.0,0.0,0.0,NA,0.0,NA,1.0,1.0,Gemini,1.0,0.0,0.0
24.0,53.0,3.0,16.0,1.0,0.0,NA,1.0,1.0,0.0,0.0,Virgo,1.0,0.0,0.0
