guilt,dem,rep,,ind,age,educ,female,black,hispanic,income
NA,1,0,1,0,35,12,1,1,0,22500
0,1,0,1,0,39,12,1,1,0,22500
NA,1,0,1,0,29,12,1,1,0,22500
1,1,0,1,0,65,12,1,0,1,22500
0,0,0,0,0,37,12,1,0,0,22500
1,0,0,0,0,64,12,0,0,0,22500
1,1,0,1,0,20,12,0,0,1,22500
NA,1,0,1,0,80,12,1,1,0,22500
0,1,0,1,0,24,12,0,0,0,22500
1,1,0,1,0,32,12,1,0,1,22500
1,1,0,1,0,32,12,1,0,1,22500
1,1,0,1,0,28,12,1,1,0,22500
1,1,0,1,0,37,12,0,0,0,22500
0,1,0,1,0,25,12,1,1,0,22500
1,1,0,1,0,33,12,1,0,1,22500
1,1,0,1,0,20,12,1,0,1,22500
0,1,0,1,0,41,12,1,1,0,22500
0,0,0,0,0,42,12,1,0,0,22500
1,1,0,1,0,99,12,1,0,0,22500
1,1,0,1,0,37,12,0,0,1,22500
1,0,0,0,0,29,12,1,0,0,22500
1,1,0,1,0,72,12,0,0,0,22500
1,1,0,1,0,45,12,0,0,0,22500
1,1,0,1,0,69,12,1,0,0,22500
1,1,0,1,0,76,12,1,0,0,22500
NA,1,0,1,0,64,12,1,1,0,22500
1,1,0,1,0,30,12,0,0,0,22500
0,1,0,1,0,28,12,1,0,0,22500
NA,1,0,1,0,58,12,1,0,0,22500
NA,1,0,1,0,24,12,1,1,0,22500
1,1,0,1,0,35,12,1,0,0,22500
1,1,0,1,0,21,12,1,0,0,22500
0,1,0,1,0,29,12,1,1,0,22500
1,1,0,1,0,37,12,1,0,0,22500
1,1,0,1,0,42,12,1,0,0,22500
1,0,0,0,0,76,12,0,0,0,22500
1,1,0,1,0,34,12,1,0,0,22500
0,1,0,1,0,50,12,0,1,0,22500
0,1,0,1,0,54,12,0,1,0,22500
1,1,0,1,0,34,12,1,0,0,22500
0,1,0,1,0,47,12,1,1,0,22500
0,1,0,1,0,44,12,1,1,0,22500
0,1,0,1,0,78,12,1,1,0,22500
0,1,0,1,0,32,12,1,1,0,22500
0,1,0,1,0,37,12,1,0,0,22500
1,1,0,1,0,19,12,0,0,1,22500
1,1,0,1,0,68,12,0,0,0,22500
0,1,0,1,0,30,12,0,0,0,22500
0,1,0,1,0,36,12,0,0,0,22500
1,0,0,0,0,34,12,1,0,0,22500
